en	fr	pair_score	passages	best_subchain_quality	mean_subchain_quality	min_hops	density_score	example
portal	pot elle	0.956	8	0.949	0.9461	2	7.57	en:portal ≈ fr:pot elle ~ fr:ries elle
mature	met chaud	0.956	8	0.962	0.9446	2	7.56	en:mature ≈ fr:met chaud ~ fr:chaud
trestle	trais elle	0.96	8	0.973	0.9437	2	7.55	en:trestle ≈ fr:trais elle ~ fr:met elle
pennis	pénis	0.956	8	0.954	0.9434	2	7.55	≈ fr:pennes ~ en:pennis ≈ fr:pénis
attic	éthique	0.945	8	0.966	0.9431	2	7.54	en:attic ≈ fr:éthique ~ fr:éthiques
pressing	pressing	0.967	8	0.946	0.942	2	7.54	en:pressing ≈ fr:pressing ~ en:presses
wrestler	raies les	0.976	8	0.943	0.9426	3	7.54	en:survival ≈ fr:ces aval ~ fr:raies les ≈ en:wrestler
candy	khan dit	0.94	8	0.945	0.9406	2	7.53	en:candy ≈ fr:khan dit ~ fr:khan ses
honored	anode	0.94	8	0.945	0.941	2	7.53	en:honors ~ en:honored ≈ fr:anode
eve	ive	1.0	8	0.976	0.9405	3	7.52	en:eave ≈ fr:ives ~ fr:ive ≈ en:eve
temperatures	tain prêt chaise	0.935	8	0.944	0.9395	2	7.52	en:temperature ~ en:temperatures ≈ fr:tain prêt chaise
counsel	cannes elle	0.949	8	0.963	0.9383	2	7.51	en:counsel ≈ fr:cannes elle ~ fr:pissent elle
sweating	souhait in	0.958	8	0.958	0.9374	2	7.5	en:sweating ≈ fr:souhait in ~ fr:souhait
lawsuit	lots août	0.956	8	0.939	0.9377	3	7.5	~ fr:soudent en:sued ~ en:lawsuit ≈ fr:lots août
caddie	caddie	0.97	8	0.938	0.9372	2	7.5	en:caddie ≈ fr:caddie ~ en:cadge
western	ouais tonnes	0.96	8	0.97	0.935	2	7.48	en:west ≈ fr:ouest = en:western ≈ fr:ouais tonnes
disposal	dispos elle	0.936	8	0.962	0.9355	2	7.48	en:disposal ≈ fr:dispos elle ~ fr:pissent elle
set	cet	1.0	8	0.938	0.9348	3	7.48	en:transit ≈ fr:train cette ~ fr:cet ≈ en:set
maximum	macs même	0.94	8	0.937	0.935	3	7.48	en:marks ≈ fr:max ~ en:maximum ≈ fr:macs même
digits	dit gypse	0.904	8	0.942	0.934	2	7.47	en:digits ≈ fr:dit gypse ~ fr:rhin dit
censored	saines aide	0.96	8	0.939	0.9341	2	7.47	en:censors ~ en:censored ≈ fr:saines aide
level	laids elle	0.917	8	0.958	0.9328	2	7.46	en:level ≈ fr:laids elle ~ fr:pissent elle
destination	destin échine	0.935	8	0.934	0.9325	2	7.46	en:destination ≈ fr:destin échine ~ fr:destinée
unexpected	iniques pectine	0.915	8	0.934	0.932	3	7.46	en:suspected ≈ fr:ces pectine ~ fr:iniques pectine ≈ en:unexpected
pallet in	palestine	0.928	8	0.963	0.9315	2	7.45	en:pallet in ≈ fr:palestine ~ fr:palestinien
wizard	ouais aide	0.952	8	0.95	0.9305	2	7.44	en:wizard ≈ fr:ouais aide ~ fr:devait aide
betting	paient in	0.926	8	0.935	0.9305	3	7.44	en:bet ≈ fr:bettes ~ en:betting ≈ fr:paient in
invested	haines esthète	0.918	8	0.93	0.93	3	7.44	~ en:ended fr:haines aide ~ fr:haines esthète ≈ en:invested
revival	rivas elle	0.92	8	0.944	0.9281	2	7.43	en:revival ≈ fr:rivas elle ~ fr:cannes elle
disease	dis hisse	0.956	8	0.938	0.9285	2	7.43	≈ en:diseases ~ en:disease ≈ fr:dis hisse
less	laisse	1.0	8	0.976	0.9275	2	7.42	en:lessee ≈ fr:laisser ~ fr:laisse ≈ en:less
pencil	peines elle	0.96	8	0.953	0.9272	2	7.42	en:pencil ≈ fr:peines elle ~ fr:bat elle
temporary	tain prairies	0.918	8	0.937	0.9276	3	7.42	en:density ≈ fr:tain cité ~ fr:tain prairies ≈ en:temporary
instructor	haines tracter	0.96	8	0.934	0.9277	2	7.42	en:instructor ≈ fr:haines tracter ~ fr:con tracter
flooding	flot in	0.919	8	0.928	0.927	3	7.42	~ en:freezing fr:frits in ~ fr:flot in ≈ en:flooding
confessed	con veste	0.949	8	0.932	0.9264	2	7.41	en:confessed ≈ fr:con veste ~ fr:vont robe
testis	taies dix	0.96	8	0.936	0.925	2	7.4	en:testes ~ en:testis ≈ fr:taies dix
proposal	propos elle	0.934	8	0.927	0.9235	3	7.39	en:diesel ≈ fr:dis elle ~ fr:propos elle ≈ en:proposal
baulked	box	0.94	8	0.961	0.9224	2	7.38	en:baulked ≈ fr:box ~ fr:boxe
patrol	peut roule	0.943	8	0.925	0.923	2	7.38	en:patrol ≈ fr:peut roule ~ fr:pot reps
shoot iffy	justifie	0.918	8	0.924	0.9216	3	7.37	en:expressing ≈ fr:exprès in ~ fr:justifie ≈ en:shoot iffy
needle	nid elle	0.952	8	0.936	0.9181	2	7.35	en:needle ≈ fr:nid elle ~ fr:nid
deacon	déconne	0.952	8	0.922	0.9173	2	7.34	en:deacon ≈ fr:déconne ~ fr:déconnent ri
chevy	cheveux	0.911	8	0.92	0.9174	3	7.34	en:whichever ≈ fr:huit cheveux ~ fr:cheveux ≈ en:chevy
booze	bouse	1.0	8	0.913	0.9123	3	7.3	~ en:baseball fr:pays bol ~ fr:bouse ≈ en:booze
excluding	exclus in	0.933	8	0.942	0.9097	2	7.28	en:excluded ~ en:excluding ≈ fr:exclus in
carter	gâté	0.955	8	0.934	0.9103	2	7.28	en:ricked ~ fr:gâté ≈ en:carter
letters	laid aise	0.976	8	0.909	0.9079	2	7.26	en:letters ≈ fr:laid aise ~ fr:laid in
downward	tan oued	0.923	8	0.912	0.9066	2	7.25	en:downward ≈ fr:tan oued ~ fr:oueds
stranger	strings je	0.914	8	0.91	0.9054	2	7.24	en:stranger ≈ fr:strings je ~ fr:strings aide
exit art	existantes	0.943	8	0.942	0.9025	2	7.22	en:exit art ≈ fr:existantes ~ fr:existant
origin	aurait gêne	0.935	8	0.894	0.8928	3	7.14	~ en:restoration fr:rincent origine ~ en:origin ≈ fr:aurait gêne
born	borne	1.0	7	1.0	0.9966	2	6.98	en:born ≈ fr:borne ~ en:borne
moose	mousse	1.0	7	1.0	0.9853	2	6.9	en:moose ≈ fr:mousse ~ en:mousse
for	fort	1.0	7	0.995	0.9847	2	6.89	en:for ≈ fr:fort ~ en:fort
marly	mali	0.985	7	0.988	0.984	2	6.89	en:marly ≈ fr:mali ~ fr:chique
suing	swing	0.925	7	0.978	0.9757	2	6.83	en:swing ~ fr:swing ≈ en:suing
poop	poupes	1.0	7	0.98	0.9747	2	6.82	en:poop ≈ fr:poupes ~ fr:poules
tea	tee	1.0	7	1.0	0.9723	2	6.81	en:tee ~ fr:tee ≈ en:tea
form	formes	1.0	7	0.977	0.9733	2	6.81	en:form ≈ fr:formes ~ fr:forme
beetroot	but route	0.967	7	0.975	0.9724	2	6.81	en:beetroot ≈ fr:but route ~ fr:routes
trawl	troll	1.0	7	0.979	0.9716	2	6.8	en:trawl ≈ fr:troll ~ fr:sain troll
bury	bey rient	1.0	7	0.973	0.9707	4	6.8	en:bury ≈ fr:bey rient ~ fr:rient ailé ≈ en:retailer ~ en:retailers
feeler	filer	1.0	7	0.98	0.97	2	6.79	en:feeler ≈ fr:filer ~ fr:files
what	ouate	0.96	7	0.98	0.9691	2	6.78	en:what ≈ fr:ouate ~ fr:ouïe
men	mènent	1.0	7	0.971	0.9681	2	6.78	en:monthly ≈ fr:mènent lis ~ fr:mènent ≈ en:men
cress	grèce	0.97	7	0.979	0.9673	2	6.77	en:cress ≈ fr:grèce ~ fr:grès
treat esse	tristesse	0.966	7	0.976	0.9677	2	6.77	en:treat esse ≈ fr:tristesse ~ fr:triste
richer	rient chez	0.98	7	0.968	0.9653	4	6.76	en:richer ≈ fr:rient chez ~ fr:rient ailé ≈ en:retailer ~ en:retailers
softly	savent lis	0.96	7	0.966	0.966	2	6.76	en:softly ≈ fr:savent lis ~ fr:sait lès
customer	cassent aimé	0.966	7	0.972	0.9636	2	6.75	en:mm ≈ fr:aiment aimes ~ fr:cassent aimé ≈ en:customer
tutu	toutou	1.0	7	0.964	0.963	2	6.74	en:tutu ≈ fr:toutou ~ fr:toute
frock	froc	0.975	7	0.97	0.9614	2	6.73	en:fraught ≈ fr:frotte ~ fr:froc ≈ en:frock
ski	skient	1.0	7	0.963	0.9619	2	6.73	≈ fr:skient chaise ~ fr:skient ≈ en:ski
stealer	stylé	1.0	7	0.962	0.9611	2	6.73	en:stealer ≈ fr:stylé ~ en:pen
peter	pires	1.0	7	0.987	0.9599	2	6.72	en:peters ~ en:peter ≈ fr:pires
peter	pire	1.0	7	0.987	0.9599	2	6.72	en:peters ~ en:peter ≈ fr:pire
butcher	bout chez	0.98	7	0.961	0.9593	2	6.72	en:butcher ≈ fr:bout chez ~ fr:traquent chez
cooler	coulent	1.0	7	0.974	0.9591	2	6.71	en:cooler ≈ fr:coulent ~ fr:couvrant
shimmy	chimie	0.975	7	0.96	0.9579	2	6.71	en:shimmy ≈ fr:chimie ~ en:chemistry
wrest	reste	1.0	7	0.972	0.9571	2	6.7	en:wrest ≈ fr:reste ~ fr:rester
rusty	rester	0.946	7	0.967	0.9564	2	6.7	en:rusty ≈ fr:rester ~ fr:demeurer
steely	stylé	0.976	7	0.958	0.9571	2	6.7	en:steely ≈ fr:stylé ~ en:pen
we	oui	1.0	7	0.998	0.9554	2	6.69	en:we ≈ fr:oui ~ fr:sim
loopy	loupé	0.97	7	0.958	0.9554	2	6.69	≈ en:loop ~ en:loopy ≈ fr:loupé
retired	rient aède	0.952	7	0.958	0.9551	4	6.69	en:retired ≈ fr:rient aède ~ fr:rient hélas ≈ en:retailers ~ en:retailer
me	mies	1.0	7	0.958	0.9551	2	6.69	≈ fr:cessent homme ~ fr:mies ≈ en:me
frees	frise	1.0	7	0.972	0.9541	3	6.68	~ fr:triste en:freest ~ en:frees ≈ fr:frise
vestry	vais tri	0.98	7	0.956	0.9547	2	6.68	en:vestry ≈ fr:vais tri ~ en:tress
cabbie	képi	0.94	7	0.955	0.9543	2	6.68	en:peak ≈ fr:pic ~ fr:képi ≈ en:cabbie
marks	max	0.985	7	0.969	0.953	2	6.67	en:maxed ~ fr:max ≈ en:marks
boo	bouts	1.0	7	0.957	0.9534	2	6.67	en:wrest ~ fr:bouts ≈ en:boo
leadership	lient chipe	0.943	7	0.955	0.953	2	6.67	en:leadership ≈ fr:lient chipe ~ fr:freinent chipe
step	steppe	1.0	7	0.953	0.9526	2	6.67	en:step ≈ fr:steppe ~ en:steppe
octave	active	0.956	7	0.985	0.9509	2	6.66	en:active ~ fr:active ≈ en:octave
seamy	chimie	0.94	7	0.954	0.9519	2	6.66	en:seamy ≈ fr:chimie ~ en:chemistry
cease	six	1.0	7	0.952	0.9514	2	6.66	en:cease ≈ fr:six ~ fr:sain six
we	ouïe	1.0	7	0.986	0.9503	2	6.65	en:kami ~ en:we ≈ fr:ouïe
disclose	dis clause	0.928	7	0.952	0.9497	2	6.65	en:disclose ≈ fr:dis clause ~ fr:clause
distress	dis tresses	0.969	7	0.952	0.9503	2	6.65	en:distress ≈ fr:dis tresses ~ fr:anis tee
bled	bled	1.0	7	0.951	0.95	2	6.65	en:bled ≈ fr:bled ~ en:bleeding
cork	coq	1.0	7	0.973	0.9484	2	6.64	en:cork ≈ fr:coq ~ fr:coqs
litter	laiteux	0.94	7	0.963	0.9483	2	6.64	en:litter ≈ fr:laiteux ~ fr:laitiers
penalties	pain altesse	0.926	7	0.956	0.9481	2	6.64	≈ fr:peines = en:penalties ≈ fr:pain altesse
prestige	presse tiges	1.0	7	0.951	0.949	2	6.64	en:prestige ≈ fr:presse tiges ~ en:presses
arrest	restes	1.0	7	0.948	0.948	2	6.64	en:arrest ≈ fr:restes ~ en:rested
rest	restes	1.0	7	0.948	0.948	2	6.64	en:rest ≈ fr:restes ~ en:rested
claque	claque	0.97	7	0.953	0.9473	2	6.63	~ en:clam fr:clame ~ en:claque ≈ fr:claque
disgusting	dis casting	0.938	7	0.948	0.9467	2	6.63	en:casting ~ fr:dis casting ≈ en:disgusting
meanie	mini	1.0	7	0.969	0.944	2	6.61	en:meany ≈ fr:minis ~ fr:mini ≈ en:meanie
defended	divin dites	0.93	7	0.95	0.9437	2	6.61	en:defending ~ en:defended ≈ fr:divin dites
breakfast	braquent est	0.909	7	0.948	0.9449	2	6.61	en:breakfast ≈ fr:braquent est ~ fr:donnent est
quack	couac	0.97	7	0.945	0.9444	2	6.61	en:quack ≈ fr:couac ~ fr:cocu
fleck	flics	0.94	7	0.957	0.9429	2	6.6	en:fleck ≈ fr:flics ~ fr:flic
suspended	ces peinent aide	0.947	7	0.946	0.9434	2	6.6	en:suspended ≈ fr:ces peinent aide ~ fr:sont aide
panties	pan thèse	0.96	7	0.943	0.9427	2	6.6	en:panties ≈ fr:pan thèse ~ fr:sain thèse
permitted	pâment aide	0.932	7	0.943	0.9424	2	6.6	en:permitted ≈ fr:pâment aide ~ fr:aide
cabby	képi	0.94	7	0.943	0.9419	2	6.59	≈ en:picture ~ fr:képi ≈ en:cabby
lippy	libye	0.945	7	0.967	0.9404	2	6.58	en:lippy ≈ fr:libye ~ fr:libyen
chat	chat	0.97	7	0.965	0.9406	2	6.58	en:chat ≈ fr:chat ~ fr:chats
dicks	dicte	0.915	7	0.963	0.9399	3	6.58	en:beat ≈ fr:bites = en:dicks ≈ fr:dicte
larger	lent chez	0.929	7	0.941	0.9406	2	6.58	en:larger ≈ fr:lent chez ~ fr:hâtes
commie	commis	0.975	7	0.938	0.938	2	6.57	en:commie ≈ fr:commis = en:committed
prestigious	pressent jazz	0.942	7	0.948	0.9371	2	6.56	en:prestigious ≈ fr:pressent jazz ~ fr:jazz
yen	yens	1.0	7	0.947	0.937	2	6.56	en:ought yen ~ fr:yens ≈ en:yen
closest	clous est	0.935	7	0.95	0.9359	2	6.55	en:closest ≈ fr:clous est ~ fr:braquent est
ticked eel	textile	0.949	7	0.968	0.9349	2	6.54	en:ticked eel ≈ fr:textile ~ fr:textiles
pending	pain digne	0.944	7	0.956	0.9321	2	6.53	en:pending ≈ fr:pain digne ~ fr:pain
sped	speed	0.94	7	0.935	0.9327	2	6.53	en:sped ≈ fr:speed ~ fr:vitesse
successor	secs essaie	0.952	7	0.934	0.9326	2	6.53	≈ en:predecessor ~ en:successor ≈ fr:secs essaie
contractor	con tracter	0.96	7	0.934	0.9323	2	6.53	en:contractor ≈ fr:con tracter ~ fr:haines tracter
debt inner	destinée	0.952	7	0.934	0.9323	3	6.53	en:destination ≈ fr:destin échine ~ fr:destinée ≈ en:debt inner
settee	synthé	0.94	7	0.931	0.931	2	6.52	en:settees ~ en:settee ≈ fr:synthé
is	aise	0.94	7	0.933	0.9291	2	6.5	en:is ≈ fr:aise ~ fr:ruent aise
bastard	passent aide	0.95	7	0.929	0.9289	2	6.5	en:bastard ≈ fr:passent aide ~ fr:assiste
drafting	drapent in	0.922	7	0.929	0.928	2	6.5	en:drafting ≈ fr:drapent in ~ fr:fait in
treasures	trais aise	0.94	7	0.933	0.9271	2	6.49	en:treasures ≈ fr:trais aise ~ fr:lient aise
redressed	rient reste	0.983	7	0.932	0.9274	2	6.49	en:redressed ≈ fr:rient reste ~ fr:restera
messages	messes chaise	0.925	7	0.928	0.927	2	6.49	en:messages ≈ fr:messes chaise ~ fr:feignent chaise
gases	gars aise	0.929	7	0.938	0.9256	2	6.48	en:gases ≈ fr:gars aise ~ fr:gars
fancy	faon ci	0.94	7	0.935	0.9261	2	6.48	en:fancy ≈ fr:faon ci ~ fr:faon est
kindly	cannes lis	0.949	7	0.932	0.9257	2	6.48	en:kindly ≈ fr:cannes lis ~ fr:cassent lis
lenses	laines aise	0.98	7	0.93	0.9261	2	6.48	en:lenses ≈ fr:laines aise ~ fr:ruent aise
beat	bit	1.0	7	0.927	0.9259	2	6.48	≈ en:beaters ~ en:beat ≈ fr:bit
responded	ries pannes aide	0.923	7	0.926	0.9257	2	6.48	en:responded ≈ fr:ries pannes aide ~ fr:brin digne
portrait	pot rite	0.952	7	0.938	0.9246	2	6.47	≈ en:portraits ~ en:portrait ≈ fr:pot rite
provisional	près chenal	0.911	7	0.935	0.9237	2	6.47	en:provisional ≈ fr:près chenal ~ fr:coud chine
reasonably	ries anobli	0.96	7	0.935	0.9244	2	6.47	en:reasonably ≈ fr:ries anobli ~ fr:sommets tes
cholesterol	collais troll	0.948	7	0.934	0.9239	2	6.47	en:cholesterol ≈ fr:collais troll ~ fr:sain troll
capture	campent chez	0.95	7	0.933	0.9246	2	6.47	en:capture ≈ fr:campent chez ~ fr:liguent chez
majesty	matchs tee	0.918	7	0.926	0.9237	2	6.47	en:majesty ≈ fr:matchs tee ~ en:matches
amended	amènent aide	0.945	7	0.924	0.9237	2	6.47	en:amended ≈ fr:amènent aide ~ fr:aidait aide
forcing	faux in	0.906	7	0.937	0.9234	2	6.46	en:forcing ≈ fr:faux in ~ fr:fausse
twenty	soin tee	0.94	7	0.927	0.9233	2	6.46	en:twenty ≈ fr:soin tee ~ fr:soute
bonding	ban digne	0.914	7	0.924	0.9236	2	6.46	en:bonding ≈ fr:ban digne ~ fr:brin digne
rickey	requis	0.963	7	0.955	0.9211	2	6.45	en:rickey ≈ fr:requis = en:needed
template	tain plainte	0.903	7	0.93	0.922	2	6.45	en:template ≈ fr:tain plainte ~ fr:tain cité
projected	prêtes excède	0.917	7	0.922	0.9219	2	6.45	en:projected ≈ fr:prêtes excède ~ fr:prêt excède
foreigners	forain aise	0.935	7	0.924	0.9201	2	6.44	en:foreigners ≈ fr:forain aise ~ fr:ruent aise
parameters	primait aise	0.927	7	0.924	0.9201	2	6.44	en:parameters ≈ fr:primait aise ~ fr:ruent aise
monster	mânes tes	0.96	7	0.92	0.92	2	6.44	en:monster ≈ fr:mânes tes ~ fr:main bée
frustrating	pressent rétine	0.934	7	0.923	0.9176	2	6.42	en:frustrating ≈ fr:pressent rétine ~ fr:rétine
princes	prennes aise	0.949	7	0.921	0.9171	2	6.42	en:princes ≈ fr:prennes aise ~ fr:ruent aise
properties	frappait aise	0.926	7	0.916	0.9121	2	6.38	en:properties ≈ fr:frappait aise ~ fr:ruent aise
depending	dépeignent in	0.905	7	0.915	0.9099	2	6.37	en:depending ≈ fr:dépeignent in ~ fr:décris in
exam	exhibe	0.905	7	0.93	0.9091	2	6.36	en:exam ≈ fr:exhibe ~ fr:apparut
displays	dis plaise	0.945	7	0.927	0.908	2	6.36	en:displays ≈ fr:dis plaise ~ fr:con dictée
leases	lis aise	0.952	7	0.913	0.9091	2	6.36	en:leases ≈ fr:lis aise ~ fr:main lis
shelters	gèlent aise	0.96	7	0.912	0.9086	2	6.36	en:shelters ≈ fr:gèlent aise ~ fr:ruent aise
kindness	cannes noces	0.94	7	0.911	0.907	2	6.35	en:kindness ≈ fr:cannes noces ~ fr:cannes lis
letting	laid in	0.95	7	0.909	0.9077	3	6.35	en:letters ≈ fr:laid aise ~ fr:laid in ≈ en:letting
stranded	strings aide	0.907	7	0.91	0.9061	2	6.34	en:stranded ≈ fr:strings aide ~ fr:strings je
premises	brèmes aise	0.94	7	0.908	0.9056	2	6.34	en:premises ≈ fr:brèmes aise ~ fr:las aise
collectively	collectes lis	0.946	7	0.905	0.902	2	6.31	en:collectively ≈ fr:collectes lis ~ en:collected
shoulders	gèlent aise	0.915	7	0.905	0.9011	2	6.31	en:shoulders ≈ fr:gèlent aise ~ fr:ruent aise
trousers	draps aise	0.932	7	0.905	0.9011	2	6.31	en:trousers ≈ fr:draps aise ~ fr:ruent aise
committees	commit hisse	0.952	7	0.901	0.901	2	6.31	en:committees ≈ fr:commit hisse ~ en:committed
destroyed	dissent rhodes	0.973	7	0.91	0.9004	2	6.3	en:destroys ≈ fr:dissent rose ~ fr:dissent rhodes ≈ en:destroyed
reminded	romanes aide	0.907	7	0.901	0.8999	2	6.3	≈ en:reminder ~ en:reminded ≈ fr:romanes aide
protector	prêt excès	0.94	7	0.9	0.8999	2	6.3	en:protector ≈ fr:prêt excès ~ fr:prêt excède
losers	loues aise	0.976	7	0.897	0.8967	2	6.28	en:losers ≈ fr:loues aise ~ fr:bises
relative	relaient ive	0.952	7	0.903	0.894	2	6.26	en:relative ≈ fr:relaient ive ~ fr:ive
existed	exit aide	0.943	7	0.926	0.891	2	6.24	en:exit art ≈ fr:existantes ~ en:existed ≈ fr:exit aide
committing	commit in	0.933	7	0.888	0.888	2	6.22	en:committing ≈ fr:commit in ~ en:committed
to	touts	1.0	6	0.995	0.9928	2	5.96	en:to ≈ fr:touts ~ fr:tout
too	tout	1.0	6	0.995	0.9907	3	5.94	en:to ≈ fr:touts ~ fr:tout ≈ en:too
too	touts	1.0	6	0.995	0.9867	2	5.92	en:too ≈ fr:touts ~ fr:tout
two	touts	1.0	6	0.995	0.9875	2	5.92	en:two ≈ fr:touts ~ fr:tout
gean	jean	1.0	6	0.994	0.987	4	5.92	en:gean ≈ fr:jean ~ en:jean ≈ fr:gin ~ fr:gins
scilla	seller	0.97	6	0.99	0.987	2	5.92	en:scilla ≈ fr:seller ~ en:seller
em	aimes	1.0	6	0.995	0.9855	2	5.91	en:em ≈ fr:aimes ~ fr:aimez
tell	telles	1.0	6	0.993	0.9847	2	5.91	en:tell ≈ fr:telles ~ fr:telle ≈ en:tel
ms	aiment ès	1.0	6	0.986	0.984	2	5.9	en:ms ≈ fr:aiment ès ~ fr:aimes
geed	gin	0.94	6	0.984	0.9798	2	5.88	en:geed ≈ fr:gin ~ fr:gins
richest	rient geste	0.952	6	0.981	0.98	2	5.88	en:richest ≈ fr:rient geste ~ fr:faits rient
steel	styles	1.0	6	0.981	0.9783	2	5.87	en:steel ≈ fr:styles ~ fr:style
builders	belles aise	0.921	6	0.979	0.9777	2	5.87	en:builders ≈ fr:belles aise ~ fr:belles
feasible	fies belle	0.957	6	0.979	0.9775	2	5.86	en:feasible ≈ fr:fies belle ~ fr:belles
tartar	tâter	0.985	6	0.977	0.9753	2	5.85	en:tartar ≈ fr:tâter ~ fr:tiquent
lord	lords	1.0	6	0.984	0.9733	2	5.84	en:lording ~ fr:lords ≈ en:lord
sex	sexe fr:sexes		6	0.982	0.9735	3	5.84	~ en:secs ≈ fr:sexe fr:sexes ≈ en:sex
former	forme	1.0	6	0.977	0.9727	3	5.84	en:form ≈ fr:formes ~ fr:forme ≈ en:former
tell	telle	1.0	6	0.973	0.973	3	5.84	en:tel ≈ fr:telles ~ fr:telle ≈ en:tell
sissy	ceci	0.963	6	0.976	0.9723	2	5.83	en:sissy ≈ fr:ceci ~ fr:dette
teat	tite	1.0	6	0.972	0.9712	2	5.83	≈ fr:tics ~ fr:tite ≈ en:teat
genesis	djinns hisse	0.928	6	0.974	0.9692	2	5.82	en:genesis ≈ fr:djinns hisse ~ fr:djinns
lesser	laissent	1.0	6	0.971	0.9693	3	5.82	en:less ≈ fr:laisses ~ fr:laissent ≈ en:lesser
moody	mous dits	1.0	6	0.989	0.966	2	5.8	en:moody ≈ fr:mous dits ~ fr:pie dits
sensible	saines belle	0.948	6	0.969	0.9675	2	5.8	en:sensible ≈ fr:saines belle ~ fr:belles
paired	perdent	1.0	6	0.985	0.9635	2	5.78	en:paired ≈ fr:perdent ~ fr:perdue
settees	sottises	0.952	6	0.966	0.9627	2	5.78	en:settee ~ en:settees ≈ fr:sottises
chemise	chemises	1.0	6	0.965	0.9633	2	5.78	≈ fr:blouse ~ fr:chemises ≈ en:chemise
vest	veste	1.0	6	0.991	0.9613	2	5.77	en:vest ≈ fr:veste ~ fr:sait
daughter	dors	1.0	6	0.983	0.9603	2	5.76	en:daughter ≈ fr:dors = en:sleep
west	ouest	1.0	6	0.97	0.96	2	5.76	en:west ≈ fr:ouest = en:western
benefit	ben faites	0.949	6	0.962	0.9607	2	5.76	en:bender ≈ fr:ben des ~ fr:ben faites ≈ en:benefit
protein	prêt in	0.966	6	0.958	0.9578	2	5.75	en:protein ≈ fr:prêt in ~ fr:prête
football	fait bol	0.975	6	0.972	0.956	3	5.74	en:footballer ≈ fr:fait bolée ~ fr:fait bol ≈ en:football
lewis	louise	0.95	6	0.958	0.9565	2	5.74	en:lewis ≈ fr:louise ~ fr:loupe
shipped	chips	0.915	6	0.957	0.957	3	5.74	~ en:friendships fr:freinent chips ~ fr:chips ≈ en:shipped
dentist	donnent est	0.949	6	0.96	0.9543	3	5.73	en:practiced ≈ fr:braquent est ~ fr:donnent est ≈ en:dentist
culture	calent chez	0.98	6	0.959	0.9557	3	5.73	~ en:censure fr:sain chez ~ fr:calent chez ≈ en:culture
shoe	chou	1.0	6	0.955	0.955	3	5.73	~ en:eschew fr:hissent chou ~ fr:chou ≈ en:shoe
fessed	veste	0.97	6	0.976	0.953	2	5.72	en:fessed ≈ fr:veste ~ fr:sait
sensors	sain seize	0.96	6	0.967	0.9537	2	5.72	en:sensor ~ en:sensors ≈ fr:sain seize
derrick	derrick	0.96	6	0.956	0.9527	2	5.72	en:derrick ≈ fr:derrick ~ en:derry
prawn	prône	0.975	6	0.956	0.9535	2	5.72	en:prawn ≈ fr:prône ~ fr:prêle
candour	khan des	0.94	6	0.96	0.9508	2	5.71	en:candour ≈ fr:khan des ~ fr:khan tri
smell	semelle	1.0	6	0.958	0.9522	2	5.71	en:seedy ~ fr:semelle ≈ en:smell
knee	nids	1.0	6	0.956	0.9525	2	5.71	en:knee ≈ fr:nids ~ fr:nid in
brill	prêle	0.94	6	0.956	0.9518	3	5.71	en:prawn ≈ fr:prône ~ fr:prêle ≈ en:brill
treasurer	trais aurez	0.949	6	0.955	0.9512	2	5.71	en:treasurer ≈ fr:trais aurez ~ fr:vais aise
discussed	dis caste	0.952	6	0.953	0.9518	2	5.71	en:discussed ≈ fr:dis caste ~ fr:dis ânesse
steppe	steppes	1.0	6	0.953	0.9525	3	5.71	en:step ≈ fr:steppe ~ en:steppe ≈ fr:steppes
metres	mitose	0.952	6	0.952	0.952	2	5.71	en:metre ~ en:metres ≈ fr:mitose
veterinary	fait ornera	0.928	6	0.952	0.9508	2	5.71	en:veterinary ≈ fr:fait ornera ~ fr:dis ânesse
grippe	grippe	0.975	6	0.973	0.9503	2	5.7	en:grippe ≈ fr:grippe = en:flu
sender	sain des	0.976	6	0.954	0.9493	2	5.7	en:sender ≈ fr:sain des ~ fr:sain ose
bleeding	plient in	0.919	6	0.951	0.9498	3	5.7	en:bled ≈ fr:bled ~ en:bleeding ≈ fr:plient in
context	khan texte	0.95	6	0.951	0.9503	2	5.7	en:context ≈ fr:khan texte ~ fr:teks
baulks	box	1.0	6	0.991	0.9478	2	5.69	en:baulks ≈ fr:box ~ fr:boxe
suitor	soudé	0.97	6	0.971	0.9485	2	5.69	en:suitor ≈ fr:soudé ~ fr:soudain
rusher	rocher	0.94	6	0.951	0.9477	2	5.69	= fr:recettes en:russet ~ en:rusher ≈ fr:rocher
treen	traîne	0.94	6	0.951	0.9477	2	5.69	en:treed ~ en:treen ≈ fr:traîne
cinder	sain des	0.952	6	0.949	0.9447	2	5.67	en:cinder ≈ fr:sain des ~ fr:sain ose
brawn	prône	0.945	6	0.948	0.9457	2	5.67	en:brawn ≈ fr:prône ~ fr:prêle
produced	prêt oust	0.951	6	0.945	0.9445	2	5.67	en:produced ≈ fr:prêt oust ~ fr:prête
corky	cocu	0.95	6	0.945	0.9443	3	5.67	en:quack ≈ fr:couac ~ fr:cocu ≈ en:corky
triste	triste	0.98	6	0.976	0.9427	2	5.66	en:treat esse ≈ fr:tristesse ~ fr:triste ≈ en:triste
cholla	coller	0.975	6	0.948	0.9427	2	5.66	en:cholla ≈ fr:coller ~ en:colly
collar	coller	0.975	6	0.948	0.9427	2	5.66	en:collar ≈ fr:coller ~ en:colly
