en	fr	sound	meaning	cognate	tier
corey	corey	0.560	1.0	1	DUAL-B
charm	charme	0.660	1.0	1	DUAL-A
charm	charm	0.660	1.0	1	DUAL-A
buffer	buffer	0.515	1.0	1	DUAL-B
sensation	sensation	0.491	1.0	1	DUAL-B
sensation	sensations	0.491	1.0	1	DUAL-B
finances	finances	0.516	1.0	1	DUAL-B
finances	finance	0.516	1.0	1	DUAL-B
caracas	caracas	0.528	1.0	1	DUAL-B
vernacular	vernaculaire	0.482	1.0	1	DUAL-B
regimental	régiment	0.483	1.0	1	DUAL-B
judoka	judoka	0.525	1.0	1	DUAL-B
psychic	psychique	0.459	1.0	1	DUAL-B
psychic	psychiques	0.459	1.0	0	DUAL-B
gundam	gundam	0.622	1.0	1	DUAL-A
denny	denny	0.648	1.0	1	DUAL-A
zach	zach	0.730	1.0	1	DUAL-A
burgundy	bourgogne	0.464	1.0	0	DUAL-B
exemption	exonération	0.538	1.0	0	DUAL-B
exemption	exemption	0.597	1.0	1	DUAL-B
otago	otago	0.518	1.0	1	DUAL-B
simultaneous	simultané	0.511	1.0	1	DUAL-B
simultaneous	simultanées	0.511	1.0	1	DUAL-B
simultaneous	simultanément	0.488	1.0	0	DUAL-B
simultaneous	simultanés	0.511	1.0	1	DUAL-B
simultaneous	simultanée	0.511	1.0	1	DUAL-B
unite	unite	0.521	1.0	1	DUAL-B
composing	composer	0.551	1.0	0	DUAL-B
rothschild	rothschild	0.705	1.0	1	DUAL-A
booker	booker	0.576	1.0	1	DUAL-B
calais	calais	0.564	1.0	1	DUAL-B
punished	punis	0.487	1.0	1	DUAL-B
punished	punie	0.487	1.0	1	DUAL-B
punished	puni	0.487	1.0	0	DUAL-B
bunny	bunny	0.648	1.0	1	DUAL-A
spl	spl	0.847	1.0	1	DUAL-S
gangs	gangs	0.527	1.0	1	DUAL-B
castillo	castillo	0.668	1.0	1	DUAL-A
arrondissement	arrondissement	0.514	1.0	1	DUAL-B
palestinians	palestinien	0.548	1.0	1	DUAL-B
palestinians	palestiniens	0.548	1.0	1	DUAL-B
favoured	favorisé	0.456	1.0	0	DUAL-B
favoured	favorisés	0.456	1.0	0	DUAL-B
approximation	approximation	0.524	1.0	1	DUAL-B
approximation	rapprochement	0.456	1.0	0	DUAL-B
grocery	épicerie	0.598	1.0	0	DUAL-B
restrict	restreindre	0.600	1.0	0	DUAL-A
cyrillic	cyrillique	0.571	1.0	1	DUAL-B
harley	harley	0.551	1.0	1	DUAL-B
dealers	dealers	0.565	1.0	1	DUAL-B
dealers	distributeurs	0.496	1.0	0	DUAL-B
diminished	diminué	0.465	1.0	0	DUAL-B
diminished	diminuée	0.465	1.0	0	DUAL-B
ret	ret	0.760	1.0	1	DUAL-S
reservations	réserves	0.461	1.0	0	DUAL-B
reservations	réservations	0.477	1.0	1	DUAL-B
seminars	séminaires	0.508	1.0	1	DUAL-B
rudolph	rodolphe	0.660	1.0	1	DUAL-A
rudolph	rudolph	0.670	1.0	1	DUAL-A
vijay	vijay	0.546	1.0	1	DUAL-B
devastating	dévastateur	0.521	1.0	0	DUAL-B
devastating	dévastateurs	0.521	1.0	0	DUAL-B
devastating	dévastatrice	0.521	1.0	0	DUAL-B
tallinn	tallinn	0.645	1.0	1	DUAL-A
pants	pantalon	0.470	1.0	0	DUAL-B
pants	pantalons	0.470	1.0	0	DUAL-B
fleeing	fuyant	0.481	1.0	0	DUAL-B
apocalypse	apocalypse	0.561	1.0	1	DUAL-B
archaeologist	archéologue	0.465	1.0	0	DUAL-B
grief	chagrin	0.479	1.0	0	DUAL-B
dispersed	dispersés	0.566	1.0	1	DUAL-B
dispersed	dispersé	0.566	1.0	1	DUAL-B
dispersed	dispersées	0.566	1.0	1	DUAL-B
dispersed	dispersée	0.566	1.0	1	DUAL-B
allegheny	allegheny	0.724	1.0	1	DUAL-A
consulted	consultées	0.555	1.0	1	DUAL-B
consulted	consulté	0.555	1.0	1	DUAL-B
consulted	consultée	0.555	1.0	1	DUAL-B
consulted	consultés	0.555	1.0	1	DUAL-B
hydro	hydraulique	0.525	1.0	0	DUAL-B
hydro	hydro	0.606	1.0	1	DUAL-A
legislators	législateur	0.580	1.0	0	DUAL-B
legislators	législateurs	0.580	1.0	1	DUAL-B
bernstein	bernstein	0.619	1.0	1	DUAL-A
commencement	commencement	0.562	1.0	1	DUAL-B
textual	textuelle	0.779	1.0	1	DUAL-S
prospective	prospective	0.807	1.0	1	DUAL-S
prospective	prospectif	0.756	1.0	1	DUAL-S
moose	moose	0.591	1.0	1	DUAL-B
chancel	chancel	0.541	1.0	1	DUAL-B
consuming	consommer	0.492	1.0	0	DUAL-B
consuming	consommant	0.490	1.0	0	DUAL-B
minas	minas	0.730	1.0	1	DUAL-A
consonant	consonne	0.504	1.0	1	DUAL-B
nun	nonne	0.710	1.0	0	DUAL-A
melodic	mélodique	0.589	1.0	0	DUAL-B
knot	noeud	0.548	1.0	0	DUAL-B
knot	nœud	0.548	1.0	0	DUAL-B
null	nul	0.671	1.0	1	DUAL-A
null	null	0.591	1.0	1	DUAL-B
null	nuls	0.671	1.0	1	DUAL-A
null	nulle	0.671	1.0	1	DUAL-A
null	nulles	0.671	1.0	1	DUAL-A
tsunami	tsunami	0.737	1.0	1	DUAL-A
tsunami	tsunamis	0.737	1.0	1	DUAL-A
adventist	adventiste	0.629	1.0	1	DUAL-A
defendants	défendeurs	0.475	1.0	0	DUAL-B
protested	protesté	0.735	1.0	1	DUAL-A
valves	vannes	0.490	1.0	0	DUAL-B
valves	valves	0.650	1.0	1	DUAL-A
brewer	brasseur	0.578	1.0	0	DUAL-B
brewer	brewer	0.576	1.0	1	DUAL-B
barred	barré	0.541	1.0	0	DUAL-B
barred	barrée	0.541	1.0	1	DUAL-B
ruiz	ruiz	0.785	1.0	1	DUAL-S
rpg	rpg	0.508	1.0	1	DUAL-B
hillary	hillary	0.615	1.0	1	DUAL-A
erin	erin	0.473	1.0	1	DUAL-B
balkans	balkans	0.582	1.0	1	DUAL-B
yiddish	yiddish	0.691	1.0	1	DUAL-A
entrepreneurs	entrepreneurs	0.649	1.0	1	DUAL-A
crimean	crimée	0.569	1.0	1	DUAL-B
welterweight	welterweight	0.713	1.0	1	DUAL-A
bratislava	bratislava	0.597	1.0	1	DUAL-B
mosques	mosquées	0.589	1.0	1	DUAL-B
alicia	alicia	0.513	1.0	1	DUAL-B
emilio	emilio	0.463	1.0	1	DUAL-B
dixie	dixie	0.823	1.0	1	DUAL-S
len	len	1.000	1.0	1	DUAL-S
gradual	graduelle	0.639	1.0	1	DUAL-A
gradual	graduel	0.639	1.0	1	DUAL-A
trash	trash	0.498	1.0	1	DUAL-B
litre	litre	0.814	1.0	1	DUAL-S
greenville	greenville	0.752	1.0	1	DUAL-S
midi	midi	0.787	1.0	1	DUAL-S
convex	convexe	0.804	1.0	1	DUAL-S
rejects	rejetés	0.497	1.0	1	DUAL-B
rejects	rebuts	0.474	1.0	0	DUAL-B
rejects	rejette	0.585	1.0	0	DUAL-B
seminar	séminaire	0.581	1.0	1	DUAL-B
cart	charrette	0.477	1.0	0	DUAL-B
russ	russ	0.671	1.0	1	DUAL-A
insist	insister	0.530	1.0	1	DUAL-B
insist	insistent	0.636	1.0	1	DUAL-A
insist	insistez	0.530	1.0	1	DUAL-B
stationary	stationnaires	0.632	1.0	1	DUAL-A
stationary	stationnaire	0.632	1.0	1	DUAL-A
toni	toni	0.864	1.0	1	DUAL-S
larsen	larsen	0.699	1.0	1	DUAL-A
orchestras	orchestres	0.750	1.0	1	DUAL-A
seize	saisir	0.516	1.0	0	DUAL-B
plato	platon	0.600	1.0	1	DUAL-B
auf	auf	0.642	1.0	1	DUAL-A
fibers	fibres	0.518	1.0	1	DUAL-B
interfere	interfèrent	0.532	1.0	1	DUAL-B
punctuation	ponctuation	0.518	1.0	1	DUAL-B
clair	clair	1.000	1.0	1	DUAL-S
collingwood	collingwood	0.679	1.0	1	DUAL-A
imports	importations	0.476	1.0	0	DUAL-B
gradient	gradient	0.636	1.0	1	DUAL-A
gradient	dégradé	0.487	1.0	0	DUAL-B
gradient	dégradés	0.487	1.0	0	DUAL-B
gradient	pente	0.461	1.0	0	DUAL-B
respects	respecte	0.777	1.0	1	DUAL-S
respects	respects	0.777	1.0	1	DUAL-S
gregg	gregg	1.000	1.0	1	DUAL-S
philips	philips	0.698	1.0	1	DUAL-A
megan	megan	0.551	1.0	1	DUAL-B
quiz	questionnaire	0.468	1.0	0	DUAL-B
quiz	quiz	0.691	1.0	1	DUAL-A
alterations	altérations	0.473	1.0	1	DUAL-B
howell	howell	0.691	1.0	1	DUAL-A
guardians	gardiens	0.589	1.0	1	DUAL-B
symphonic	symphonique	0.567	1.0	1	DUAL-B
hospitality	hospitalité	0.487	1.0	1	DUAL-B
rae	rae	0.786	1.0	1	DUAL-S
intellectuals	intellectuels	0.588	1.0	1	DUAL-B
cod	cod	0.681	1.0	1	DUAL-A
cod	cabillaud	0.479	1.0	0	DUAL-B
estuary	estuaire	0.707	1.0	1	DUAL-A
discount	escompte	0.587	1.0	0	DUAL-B
chun	chun	0.462	1.0	1	DUAL-B
neoclassical	néoclassique	0.540	1.0	0	DUAL-B
painful	pénible	0.633	1.0	0	DUAL-A
amelia	amélie	0.550	1.0	0	DUAL-B
responds	répond	0.496	1.0	0	DUAL-B
provost	provost	0.578	1.0	1	DUAL-B
luca	luca	0.556	1.0	1	DUAL-B
podium	podium	0.673	1.0	1	DUAL-A
quentin	quentin	0.528	1.0	1	DUAL-B
jakob	jakob	0.505	1.0	1	DUAL-B
pneumonia	pneumonie	0.562	1.0	1	DUAL-B
lao	lao	0.710	1.0	1	DUAL-A
ethan	ethan	0.648	1.0	1	DUAL-A
deficiency	déficience	0.477	1.0	1	DUAL-B
coherent	cohérents	0.574	1.0	1	DUAL-B
coherent	cohérentes	0.635	1.0	1	DUAL-A
coherent	cohérente	0.635	1.0	1	DUAL-A
coherent	cohérent	0.574	1.0	1	DUAL-B
rudy	rudy	0.648	1.0	1	DUAL-A
woodward	woodward	0.615	1.0	1	DUAL-A
julien	julien	0.456	1.0	1	DUAL-B
liberties	libertés	0.505	1.0	1	DUAL-B
therapeutic	thérapeutiques	0.478	1.0	0	DUAL-B
therapeutic	thérapeutique	0.478	1.0	1	DUAL-B
semantic	sémantique	0.587	1.0	0	DUAL-B
chloride	chlorures	0.691	1.0	0	DUAL-A
chloride	chlorure	0.691	1.0	1	DUAL-A
confront	confronter	0.578	1.0	1	DUAL-B
vanguard	vanguard	0.534	1.0	1	DUAL-B
vendors	vendeurs	0.495	1.0	1	DUAL-B
baptism	baptême	0.572	1.0	0	DUAL-B
planting	plantation	0.549	1.0	1	DUAL-B
planting	planter	0.585	1.0	0	DUAL-B
planting	plantations	0.549	1.0	0	DUAL-B
valle	valle	0.730	1.0	1	DUAL-A
bonn	bonn	0.681	1.0	1	DUAL-A
claus	claus	0.651	1.0	1	DUAL-A
mono	mono	0.645	1.0	1	DUAL-A
penal	pénale	0.632	1.0	0	DUAL-A
penal	pénal	0.632	1.0	1	DUAL-A
lips	lèvres	0.518	1.0	0	DUAL-B
opt	opt	0.681	1.0	1	DUAL-A
opt	opter	0.514	1.0	1	DUAL-B
eurasian	eurasienne	0.483	1.0	1	DUAL-B
ramon	ramón	0.558	1.0	1	DUAL-B
ramon	ramon	0.558	1.0	1	DUAL-B
maxim	maxime	0.696	1.0	1	DUAL-A
maxim	maxim	0.696	1.0	1	DUAL-A
zion	zion	0.531	1.0	1	DUAL-B
alfredo	alfredo	0.641	1.0	1	DUAL-A
policeman	policier	0.604	1.0	0	DUAL-A
treasures	trésors	0.585	1.0	0	DUAL-B
ceramics	céramique	0.517	1.0	0	DUAL-B
ceramics	céramiques	0.517	1.0	0	DUAL-B
africans	africains	0.529	1.0	1	DUAL-B
embrace	embrasser	0.477	1.0	1	DUAL-B
embrace	embrassez	0.477	1.0	1	DUAL-B
bliss	bliss	0.787	1.0	1	DUAL-S
bowls	boules	0.545	1.0	0	DUAL-B
bowls	bols	0.563	1.0	1	DUAL-B
characterised	caractérisé	0.554	1.0	1	DUAL-B
characterised	caractérisés	0.554	1.0	0	DUAL-B
playhouse	playhouse	0.572	1.0	1	DUAL-B
goldberg	goldberg	0.696	1.0	1	DUAL-A
guadalajara	guadalajara	0.538	1.0	1	DUAL-B
archaic	archaïques	0.600	1.0	0	DUAL-A
archaic	archaïque	0.600	1.0	0	DUAL-A
risen	ressuscité	0.456	1.0	0	DUAL-B
terminals	terminaux	0.488	1.0	1	DUAL-B
pedal	pédale	0.634	1.0	0	DUAL-A
wen	wen	0.591	1.0	1	DUAL-B
immortal	immortelle	0.652	1.0	1	DUAL-A
immortal	immortel	0.652	1.0	1	DUAL-A
immortal	immortels	0.652	1.0	1	DUAL-A
suppress	réprimer	0.473	1.0	0	DUAL-B
cambridgeshire	cambridgeshire	0.559	1.0	1	DUAL-B
rappers	rappeurs	0.513	1.0	1	DUAL-B
recycling	recyclage	0.522	1.0	1	DUAL-B
recycling	recycler	0.546	1.0	0	DUAL-B
intentional	intentionnel	0.495	1.0	1	DUAL-B
intentional	intentionnelle	0.495	1.0	1	DUAL-B
intentional	intentionnels	0.495	1.0	1	DUAL-B
bei	bei	0.618	1.0	1	DUAL-A
malmö	malmö	0.631	1.0	1	DUAL-A
lan	lan	0.730	1.0	1	DUAL-A
stevie	stevie	0.798	1.0	1	DUAL-S
marne	marne	0.793	1.0	1	DUAL-S
contractors	entrepreneurs	0.490	1.0	0	DUAL-B
contractors	contractants	0.608	1.0	1	DUAL-A
spine	épine	0.509	1.0	1	DUAL-B
maximilian	maximilien	0.558	1.0	1	DUAL-B
gala	gala	0.532	1.0	1	DUAL-B
glucose	glucose	0.605	1.0	1	DUAL-A
parallels	parallels	0.642	1.0	1	DUAL-A
parallels	parallèles	0.642	1.0	1	DUAL-A
parallels	parallèle	0.642	1.0	1	DUAL-A
migrants	migrants	0.565	1.0	1	DUAL-B
migrants	immigrés	0.474	1.0	0	DUAL-B
quaker	quaker	0.673	1.0	1	DUAL-A
zionist	sioniste	0.568	1.0	1	DUAL-B
palazzo	palazzo	0.513	1.0	1	DUAL-B
doping	dopage	0.563	1.0	0	DUAL-B
ramsay	ramsay	0.632	1.0	1	DUAL-A
ministerial	ministérielle	0.591	1.0	1	DUAL-B
ministerial	ministériel	0.591	1.0	1	DUAL-B
blanche	blanche	0.773	1.0	1	DUAL-S
moran	moran	0.551	1.0	1	DUAL-B
crab	crabes	0.785	1.0	1	DUAL-S
crab	crabe	0.785	1.0	1	DUAL-S
electrified	électrifiée	0.630	1.0	1	DUAL-A
burt	burt	0.507	1.0	1	DUAL-B
flotilla	flottille	0.587	1.0	1	DUAL-B
equatorial	équatoriale	0.639	1.0	1	DUAL-A
equatorial	equatoriale	0.639	1.0	1	DUAL-A
moderately	moyennement	0.454	1.0	0	DUAL-B
minors	mineures	0.491	1.0	0	DUAL-B
minors	mineurs	0.491	1.0	1	DUAL-B
conflicting	contradictoire	0.487	1.0	0	DUAL-B
conflicting	conflictuelles	0.570	1.0	0	DUAL-B
conflicting	contradictoires	0.487	1.0	0	DUAL-B
conflicting	conflictuels	0.570	1.0	0	DUAL-B
luc	luc	0.730	1.0	1	DUAL-A
serb	serbe	0.683	1.0	1	DUAL-A
serb	serbes	0.683	1.0	1	DUAL-A
shea	shea	0.512	1.0	1	DUAL-B
collier	collier	0.522	1.0	1	DUAL-B
nickelodeon	nickelodeon	0.571	1.0	1	DUAL-B
sherwood	sherwood	0.691	1.0	1	DUAL-A
cyclones	cyclones	0.637	1.0	1	DUAL-A
oceanic	océanique	0.568	1.0	0	DUAL-B
oceanic	océaniques	0.568	1.0	0	DUAL-B
potomac	potomac	0.562	1.0	1	DUAL-B
eton	eton	0.470	1.0	1	DUAL-B
loc	loc	0.681	1.0	1	DUAL-A
expose	exposer	0.787	1.0	1	DUAL-S
disguise	déguiser	0.490	1.0	1	DUAL-B
disguise	déguisement	0.468	1.0	0	DUAL-B
brenda	brenda	0.600	1.0	1	DUAL-B
nora	nora	0.771	1.0	1	DUAL-S
connie	connie	0.748	1.0	1	DUAL-A
como	como	0.652	1.0	1	DUAL-A
como	côme	0.522	1.0	0	DUAL-B
hayden	hayden	0.549	1.0	1	DUAL-B
wehrmacht	wehrmacht	0.481	1.0	1	DUAL-B
rhineland	rhénanie	0.474	1.0	0	DUAL-B
toe	tep	0.513	1.0	0	DUAL-B
toe	toe	0.618	1.0	1	DUAL-A
astros	astros	0.688	1.0	1	DUAL-A
polymer	polymères	0.499	1.0	1	DUAL-B
polymer	polymère	0.499	1.0	1	DUAL-B
yorker	yorker	0.492	1.0	1	DUAL-B
thanksgiving	thanksgiving	0.727	1.0	1	DUAL-A
transverse	transversal	0.535	1.0	1	DUAL-B
transverse	transversale	0.535	1.0	1	DUAL-B
transverse	transversaux	0.555	1.0	1	DUAL-B
transverse	transversales	0.535	1.0	1	DUAL-B
houghton	houghton	0.691	1.0	1	DUAL-A
neutron	neutrons	0.589	1.0	1	DUAL-B
neutron	neutron	0.589	1.0	1	DUAL-B
morphology	morphologie	0.750	1.0	1	DUAL-S
mythological	mythologique	0.473	1.0	1	DUAL-B
cho	cho	0.599	1.0	1	DUAL-B
locke	locke	0.681	1.0	1	DUAL-A
modelling	modélisation	0.461	1.0	0	DUAL-B
modelling	modelage	0.465	1.0	0	DUAL-B
façade	façade	0.638	1.0	1	DUAL-A
leafs	leafs	0.648	1.0	1	DUAL-A
piracy	piratage	0.465	1.0	0	DUAL-B
piracy	piraterie	0.554	1.0	0	DUAL-B
fulham	fulham	0.619	1.0	1	DUAL-A
superstar	superstar	0.623	1.0	1	DUAL-A
mechanic	mécano	0.473	1.0	0	DUAL-B
mechanic	mécanicien	0.473	1.0	0	DUAL-B
perimeter	périmètre	0.579	1.0	0	DUAL-B
exceeding	excédant	0.643	1.0	0	DUAL-A
hmm	hmm	0.710	1.0	1	DUAL-A
hmm	humm	0.524	1.0	1	DUAL-B
franciscan	franciscain	0.632	1.0	1	DUAL-A
detector	détecteur	0.697	1.0	0	DUAL-A
bethlehem	bethléem	0.640	1.0	1	DUAL-A
wharf	wharf	0.499	1.0	1	DUAL-B
carmel	carmel	0.699	1.0	1	DUAL-A
medication	médication	0.500	1.0	1	DUAL-B
medication	médicaments	0.473	1.0	0	DUAL-B
medication	médicament	0.473	1.0	0	DUAL-B
auguste	auguste	0.609	1.0	1	DUAL-A
bali	bali	0.793	1.0	1	DUAL-S
rift	rift	0.787	1.0	1	DUAL-S
henrik	henrik	0.530	1.0	1	DUAL-B
mitsubishi	mitsubishi	0.788	1.0	1	DUAL-S
formulation	formulation	0.614	1.0	1	DUAL-A
bisexual	bisexuels	0.590	1.0	1	DUAL-B
sichuan	sichuan	0.515	1.0	1	DUAL-B
sincerely	sincèrement	0.476	1.0	0	DUAL-B
bricks	briques	0.657	1.0	0	DUAL-A
kendall	kendall	0.725	1.0	1	DUAL-A
plea	plaidoyer	0.564	1.0	0	DUAL-B
het	het	0.454	1.0	1	DUAL-B
replaces	remplacera	0.538	1.0	1	DUAL-B
replaces	remplace	0.572	1.0	1	DUAL-B
fined	amendes	0.500	1.0	0	DUAL-B
walters	walters	0.492	1.0	1	DUAL-B
analysts	analystes	0.526	1.0	1	DUAL-B
marketplace	marketplace	0.697	1.0	1	DUAL-A
kits	trousses	0.504	1.0	0	DUAL-B
kits	kits	0.580	1.0	1	DUAL-B
lamps	lampes	0.540	1.0	1	DUAL-B
lamps	lampe	0.540	1.0	1	DUAL-B
lviv	lviv	0.592	1.0	1	DUAL-B
boyer	boyer	0.510	1.0	1	DUAL-B
preserves	préserve	0.578	1.0	1	DUAL-B
expulsion	expulsion	0.651	1.0	1	DUAL-A
expulsion	expulsions	0.651	1.0	1	DUAL-A
favourable	favorable	0.546	1.0	1	DUAL-B
favourable	favorables	0.546	1.0	1	DUAL-B
raion	raïon	0.540	1.0	1	DUAL-B
biologist	biologiste	0.576	1.0	1	DUAL-B
debbie	debbie	1.000	1.0	1	DUAL-S
stephenson	stephenson	0.692	1.0	1	DUAL-A
domination	domination	0.478	1.0	1	DUAL-B
domination	dominer	0.533	1.0	0	DUAL-B
margins	marges	0.521	1.0	1	DUAL-B
skate	skate	0.743	1.0	1	DUAL-A
ffff	ffff	1.000	1.0	1	DUAL-S
steward	steward	0.493	1.0	1	DUAL-B
jacqueline	jacqueline	0.511	1.0	1	DUAL-B
cindy	cindy	0.823	1.0	1	DUAL-S
watford	watford	0.492	1.0	1	DUAL-B
theodor	theodor	0.682	1.0	1	DUAL-A
restructuring	restructurations	0.563	1.0	1	DUAL-B
restructuring	restructurer	0.584	1.0	1	DUAL-B
restructuring	restructuration	0.563	1.0	1	DUAL-B
mysore	mysore	0.596	1.0	1	DUAL-B
philipp	philipp	0.647	1.0	1	DUAL-A
disguised	déguisée	0.485	1.0	0	DUAL-B
disguised	déguisés	0.485	1.0	0	DUAL-B
disguised	déguisé	0.485	1.0	0	DUAL-B
gmbh	gmbh	0.603	1.0	1	DUAL-A
accuse	accuse	0.549	1.0	1	DUAL-B
convergence	convergence	0.562	1.0	1	DUAL-B
prophecy	prophétie	0.632	1.0	0	DUAL-A
prophecy	prophéties	0.632	1.0	0	DUAL-A
nuevo	nuevo	0.637	1.0	1	DUAL-A
sanitation	hygiène	0.480	1.0	0	DUAL-B
sanitation	salubrité	0.496	1.0	0	DUAL-B
tortured	torturé	0.671	1.0	1	DUAL-A
tortured	torturés	0.671	1.0	1	DUAL-A
tortured	torturée	0.671	1.0	1	DUAL-A
luton	luton	0.567	1.0	1	DUAL-B
collaborate	collaborent	0.499	1.0	1	DUAL-B
collaborate	collabore	0.492	1.0	1	DUAL-B
collaborate	collaborer	0.560	1.0	1	DUAL-B
demos	démonstrations	0.473	1.0	0	DUAL-B
demos	démos	0.637	1.0	1	DUAL-A
predator	prédateurs	0.631	1.0	0	DUAL-A
predator	prédateur	0.631	1.0	0	DUAL-A
tops	tops	0.540	1.0	1	DUAL-B
livery	livrée	0.645	1.0	0	DUAL-A
coefficient	coefficient	0.547	1.0	1	DUAL-B
sentinel	sentinel	0.578	1.0	1	DUAL-B
sentinel	sentinelle	0.578	1.0	1	DUAL-B
sentinel	sentinelles	0.578	1.0	1	DUAL-B
recalls	rappels	0.471	1.0	0	DUAL-B
recalls	rappelle	0.471	1.0	0	DUAL-B
alphabetical	alphabétique	0.483	1.0	0	DUAL-B
ponce	ponce	0.670	1.0	1	DUAL-A
defences	défenses	0.507	1.0	1	DUAL-B
wilkes	wilkes	0.691	1.0	1	DUAL-A
vogue	vogue	0.833	1.0	1	DUAL-S
middlesbrough	middlesbrough	0.793	1.0	1	DUAL-S
soyuz	soyouz	0.569	1.0	1	DUAL-B
imposing	imposer	0.492	1.0	0	DUAL-B
imposing	imposant	0.490	1.0	1	DUAL-B
imposing	imposante	0.486	1.0	0	DUAL-B
freud	freud	0.758	1.0	1	DUAL-S
campo	campo	0.622	1.0	1	DUAL-A
rodrigo	rodrigo	0.648	1.0	1	DUAL-A
redesigned	remanié	0.464	1.0	0	DUAL-B
redesigned	redessiné	0.473	1.0	0	DUAL-B
gwen	gwen	1.000	1.0	1	DUAL-S
masonic	maçonnique	0.580	1.0	0	DUAL-B
jstor	jstor	0.588	1.0	1	DUAL-B
monterey	monterey	0.600	1.0	1	DUAL-B
denise	denise	0.821	1.0	1	DUAL-S
zoe	zoé	0.575	1.0	0	DUAL-B
zoe	zoe	0.545	1.0	1	DUAL-B
graf	graf	0.785	1.0	1	DUAL-S
dev	dev	1.000	1.0	1	DUAL-S
fertility	fertilité	0.499	1.0	1	DUAL-B
fertility	fécondité	0.451	1.0	0	DUAL-B
carla	carla	0.638	1.0	1	DUAL-A
successors	successeurs	0.657	1.0	1	DUAL-A
pleaded	supplié	0.574	1.0	0	DUAL-B
pleaded	plaidé	0.604	1.0	0	DUAL-A
ventura	ventura	0.487	1.0	1	DUAL-B
mastered	maîtrisés	0.471	1.0	0	DUAL-B
mastered	maîtrisé	0.471	1.0	0	DUAL-B
mastered	maîtrisées	0.471	1.0	0	DUAL-B
culminated	culminé	0.598	1.0	0	DUAL-B
asteroids	astéroïdes	0.568	1.0	0	DUAL-B
asteroids	astéroïde	0.568	1.0	0	DUAL-B
prima	prima	0.810	1.0	1	DUAL-S
serpent	serpent	0.522	1.0	1	DUAL-B
viaduct	viaduc	0.502	1.0	1	DUAL-B
christoph	christoph	0.713	1.0	1	DUAL-A
remixed	remixée	0.584	1.0	1	DUAL-B
dunedin	dunedin	0.520	1.0	1	DUAL-B
grenade	grenade	0.813	1.0	1	DUAL-S
grenade	grenades	0.813	1.0	1	DUAL-S
analyze	analysent	0.514	1.0	1	DUAL-B
satan	satan	0.530	1.0	1	DUAL-B
français	français	0.583	1.0	1	DUAL-B
christi	christi	0.849	1.0	1	DUAL-S
flux	flux	0.595	1.0	1	DUAL-B
nail	ongles	0.501	1.0	0	DUAL-B
nail	ongle	0.501	1.0	0	DUAL-B
modular	modulables	0.518	1.0	0	DUAL-B
modular	modulaire	0.486	1.0	1	DUAL-B
modular	modulaires	0.486	1.0	1	DUAL-B
sloan	sloan	0.560	1.0	1	DUAL-B
liturgical	liturgique	0.463	1.0	0	DUAL-B
ballroom	ballroom	0.725	1.0	1	DUAL-A
vida	vida	0.771	1.0	1	DUAL-S
scenarios	scénarios	0.508	1.0	1	DUAL-B
tablets	tablettes	0.605	1.0	1	DUAL-A
martins	martins	0.616	1.0	1	DUAL-A
neon	néon	0.544	1.0	1	DUAL-B
trader	trader	0.607	1.0	1	DUAL-A
saxe	saxe	0.785	1.0	1	DUAL-S
lamar	lamar	0.646	1.0	1	DUAL-A
thessaloniki	thessalonique	0.591	1.0	1	DUAL-B
dictatorship	dictatures	0.518	1.0	0	DUAL-B
dictatorship	dictature	0.518	1.0	0	DUAL-B
sperm	semence	0.508	1.0	0	DUAL-B
sperm	sperme	0.741	1.0	1	DUAL-A
sperm	spermatozoïdes	0.506	1.0	0	DUAL-B
differentiate	différencier	0.478	1.0	0	DUAL-B
conjecture	conjectures	0.650	1.0	1	DUAL-A
conjecture	conjecture	0.650	1.0	1	DUAL-A
taft	taft	0.785	1.0	1	DUAL-S
mckay	mckay	0.511	1.0	1	DUAL-B
melville	melville	0.849	1.0	1	DUAL-S
kris	kris	0.691	1.0	1	DUAL-A
tabloid	tabloïd	0.734	1.0	1	DUAL-A
decreases	diminue	0.519	1.0	0	DUAL-B
descending	décroissant	0.455	1.0	0	DUAL-B
descending	descendante	0.484	1.0	1	DUAL-B
descending	descendant	0.488	1.0	1	DUAL-B
polk	polk	0.499	1.0	1	DUAL-B
announcements	annonces	0.494	1.0	1	DUAL-B
otis	otis	0.540	1.0	1	DUAL-B
milano	milan	0.534	1.0	1	DUAL-B
milano	milano	0.620	1.0	1	DUAL-A
nikki	nikki	0.721	1.0	1	DUAL-A
proton	protons	0.680	1.0	1	DUAL-A
proton	proton	0.680	1.0	1	DUAL-A
diffusion	diffusion	0.496	1.0	1	DUAL-B
clarkson	clarkson	0.686	1.0	1	DUAL-A
hostilities	hostilités	0.482	1.0	1	DUAL-B
sherlock	sherlock	0.593	1.0	1	DUAL-B
tyson	tyson	0.524	1.0	1	DUAL-B
vengeance	vengeance	0.578	1.0	1	DUAL-B
doi	doi	0.547	1.0	1	DUAL-B
pont	pont	0.606	1.0	1	DUAL-A
slalom	slalom	0.694	1.0	1	DUAL-A
bowman	bowman	0.603	1.0	1	DUAL-A
sack	sack	0.730	1.0	1	DUAL-A
leroy	leroy	0.501	1.0	1	DUAL-B
mister	mister	0.636	1.0	1	DUAL-A
mister	monsieur	0.518	1.0	0	DUAL-B
vectors	vecteurs	0.749	1.0	1	DUAL-A
