en	fr	certifications	example_loop
rendered	reines aide	1	en:rendered ≈ fr:reines aide ~ fr:reines ≈ en:redden ~ fr:rendus
retention	ricin chaîne	1	en:retention ≈ fr:ricin chaîne ~ fr:d un chaîne ≈ en:detention = fr:rétention
detention	d un chaîne	1	en:retention ≈ fr:ricin chaîne ~ fr:d un chaîne ≈ en:detention = fr:rétention
roots	routes	1	en:road = fr:route ≈ en:rooted ~ en:roots ≈ fr:routes = en:roads
reed	ride	1	en:rode ~ fr:ride ≈ en:reed ~ en:reedy ≈ fr:rider ~ en:riding
reedy	rider	1	en:rode ~ fr:ride ≈ en:reed ~ en:reedy ≈ fr:rider ~ en:riding
score	scores	1	en:scored ~ en:score ≈ fr:scores ~ en:scores ≈ fr:score
scores	scores	1	en:scored ~ fr:scores ≈ en:scores ~ en:score ≈ fr:score
seizes	scies aise	1	en:seas ~ en:seizes ≈ fr:scies aise ~ fr:scies ≈ en:si ~ fr:sse
si	scies	1	en:seas ~ en:seizes ≈ fr:scies aise ~ fr:scies ≈ en:si ~ fr:sse
seas	sise	1	en:seas ≈ fr:sise ~ fr:sises ≈ en:sees ~ en:seen ≈ fr:si ~ fr:sse
sees	sises	1	en:seas ≈ fr:sise ~ fr:sises ≈ en:sees ~ en:seen ≈ fr:si ~ fr:sse
seen	si	1	en:seas ≈ fr:sise ~ fr:sises ≈ en:sees ~ en:seen ≈ fr:si ~ fr:sse
sec	secs	1	en:sec ≈ fr:secs ~ fr:secs ides ≈ en:succeed ~ en:success ≈ fr:secs ace ~ en:secs
sees	assise	1	en:seen ~ en:sees ≈ fr:assise = en:seated ≈ fr:scient aide ~ fr:scient ≈ en:see
seated	scient aide	1	en:seen ~ en:sees ≈ fr:assise = en:seated ≈ fr:scient aide ~ fr:scient ≈ en:see
see	scient	1	en:seen ~ en:sees ≈ fr:assise = en:seated ≈ fr:scient aide ~ fr:scient ≈ en:see
sect	sexe	1	en:sex ≈ fr:sex ~ en:sext ≈ fr:secte ~ en:sect ≈ fr:sexe
share	chères	1	en:share ≈ fr:chères ~ fr:chère ≈ en:shared
shared	chère	1	en:share ≈ fr:chères ~ fr:chère ≈ en:shared
share	chère	1	en:share ≈ fr:chère ~ fr:chères ≈ en:shared
shared	chères	1	en:share ≈ fr:chère ~ fr:chères ≈ en:shared
cheque	cheik	1	en:sheikh = fr:cheik ≈ en:cheque = fr:chèque ≈ en:sheik = fr:cheikh
chute	shoote	1	en:shoot esse ~ fr:shoote ≈ en:chute ~ fr:chute ≈ en:shoot
chute	shoots	1	en:shoots ~ fr:shoots ≈ en:chute ~ fr:chute ≈ en:shoot
receive	rive	1	en:shore = fr:rive ≈ en:receive ~ en:receives ≈ fr:rives = en:shores
receives	rives	1	en:shore = fr:rive ≈ en:receive ~ en:receives ≈ fr:rives = en:shores
show	chauds	1	en:showed ~ en:shown ≈ fr:chaude ~ fr:chauds ≈ en:show = fr:montrer
show	chaud	1	en:showed ~ en:shown ≈ fr:chaude ~ fr:chaud ≈ en:show = fr:montrer
ski	skis	1	en:ski ≈ fr:skis ~ en:skiing ≈ fr:ski
sort	sortie	1	en:sorted ~ fr:sort ≈ en:sortie ~ fr:sortie ≈ en:sort
sort	sorties	1	en:sorted ~ fr:sort ≈ en:sortie ~ fr:sorties ≈ en:sort
sped	speed	1	en:speed ~ fr:speed ≈ en:sped ~ fr:faste ≈ en:faster ~ fr:speeder
faster	faste	1	en:speed ~ fr:speed ≈ en:sped ~ fr:faste ≈ en:faster ~ fr:speeder
stalk	stockent	1	en:stalky ≈ fr:stocker ~ fr:stockent ≈ en:stalk
stole	styles	1	en:steals ~ en:stealing ≈ fr:style ~ fr:styles ≈ en:stole ~ en:steal
stem	stems	1	en:stem ≈ fr:stems ~ en:stems ≈ fr:stem
stem	stemm	1	en:stem ≈ fr:stemm ~ fr:stem ≈ en:stems
stalk	stocks	1	en:stocks ~ fr:stocks ≈ en:stalk ~ en:stalky ≈ fr:stock
step	stoppes	1	en:stopped ~ fr:stoppes ≈ en:step ~ fr:step ≈ en:stop ~ en:stoppers
tell	telle	1	en:such = fr:telle ≈ en:tell ~ en:tells ≈ fr:tels
suggested	on geste	1	en:suggests ~ en:suggesting ≈ fr:et geste ~ fr:on geste ≈ en:suggested
testy	tester	1	en:teston ~ en:testy ≈ fr:tester ~ fr:teste ≈ en:test ~ fr:test ≈ en:testers
test	tester	1	en:testy ~ fr:tester ≈ en:test ~ fr:test ≈ en:testers
transformed	transforment	1	en:transform = fr:transformer ≈ en:transformation ~ en:transformed ≈ fr:transforment
troop	troupes	1	en:troop ≈ fr:troupes ~ fr:troupe ≈ en:troops
